Company Name,Location,Phone,URL
Ledgebit Technologies Private Limited,Gurugram,08044923420,https://www.indiamart.com/ledgebittechnologies/?pos=1&kwd=alexa&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_A_0_P-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Nukkads,Noida,08046057131,https://www.okostechnologies.in/?pos=2&kwd=alexa&tags=rk:A|plc:1|dt:36|db:01|prc:1|dtp:p|pfs:1|sv:S|rsf:gd|ri:S_A_50_P-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Digital Technologies,New Delhi,08048612852,https://www.indiamart.com/digitaltechnologies-noida/?pos=3&kwd=alexa&tags=rk:A||dt:28|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_A_50_NP-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Avipriya Automation,New Delhi,07949285580,https://www.indiamart.com/avipriyaautomation/?pos=4&kwd=alexa&tags=rk:B||dt:28|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_B_50_NP-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Goldline Security Systems,New Delhi,08048960767,https://www.goldlinesecuritysystems.co.in/?pos=5&kwd=alexa&tags=rk:B|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_50_P-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Auslese Private Limited,New Delhi,07942794783,https://www.indiamart.com/auslese-private-limited/?pos=6&kwd=alexa&tags=rk:TS|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_TS_50_P-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Notofire Private Limited,Noida,08048273346,https://www.indiamart.com/notofire/?pos=7&kwd=alexa&tags=rk:TS|plc:1|dt:36|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_TS_50_P-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Prakash Electrical & Electronics,New Delhi,08047548859,https://www.indiamart.com/prakashelectrical-electronics/?pos=8&kwd=alexa&tags=rk:C||dt:28|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Shiv Shakti Metal And Alloys Steel,Ghaziabad,"08044566707,3751",https://www.indiamart.com/shivshaktimetalalloyssteel/?pos=9&kwd=alexa&tags=rk:C||dt:47|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
Recont Automation,Ghaziabad,08047671840,https://www.indiamart.com/perthome/?pos=10&kwd=alexa&tags=rk:C||dt:47|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC2|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15207|com-cf:nl|ptrs:na|mc:29436|cat:80|qry_typ:P|lang:en|rtn:1-0-0-1-3-4-1|tyr:2|qrd:250811|mrd:250616|prdt:250813|msf:hs|pfen:1|gli:G0I1|v=4|crs=glb
