Company Name,Location,Phone,URL
Global Connections,Gurugram,08047780399,https://www.indiamart.com/global-connections-gurgaon/?pos=1&kwd=clothes&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_A_0_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
The Rainbow Tribe,New Delhi,08046047257,https://www.indiamart.com/tulsattva/?pos=2&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Rabric Retails Private Limited,New Delhi,08044944677,https://www.rabric.in/?pos=3&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
R A M Enterprises,New Delhi,08047639506,https://www.plussizegarments.in/?pos=4&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Mohit Packaging Industries,New Delhi,07942704988,https://www.rockwellclothing.in/?pos=5&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Fragrance Of India,New Delhi,07942540330,https://www.tashitagye.com/?pos=6&kwd=clothes&tags=rk:A||dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_NP-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Neo Fashions,New Delhi,08048951652,https://www.neofashions.co.in/?pos=7&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Lugo Synthetics,New Delhi,08043859016,https://www.indiamart.com/lugosynthetics/?pos=8&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Renovator Appliances,Greater Noida,08043852762,https://www.renovatorappliances.in/?pos=9&kwd=clothes&tags=rk:A|plc:1|dt:46|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Clothing Cluster,New Delhi,08046059231,https://www.indiamart.com/clothingcluster/?pos=10&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15790|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-0-0-3-7-0|tyr:2|qrd:250813|mrd:250730|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
Shree Paras Exports,New Delhi,08044941911,https://www.shreeparasexports.com/?pos=11&kwd=clothes&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC5|ktp:N0|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15792|com-cf:nl|ptrs:na|mc:105933|cat:108|qry_typ:P|lang:en|rtn:0-0-2-0-0-7-1|tyr:2|qrd:250813|mrd:250813|prdt:250813|qcr:1|msf:ms|pfen:1|gli:G0I1|v=4|crs=glb
