Name,URL,Address
Fergusson College,"https://www.google.com/maps/place/Fergusson+College/@18.5228446,73.6947722,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2bf80982203c7:0xba2ba195e24b828a!8m2!3d18.5228446!4d73.8389678!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQdjb2xsZWdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJQT1hCeVV6aG5SUkFCqgFHEAEqDCIIY29sbGVnZXMoADIfEAEiG9oYHi2IGNbt5DKWWq2W9CuMp23J_apV4NqxMjIUEAIiEGNvbGxlZ2VzIGluIHB1bmXgAQD6AQQIABBL!16zL20vMDR5Nnhr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Fergusson College Rd, Shivajinagar, Pune, Maharashtra 411004"
"Modern College of Arts, Science and Commerce","https://www.google.com/maps/place/Modern+College+of+Arts,+Science+and+Commerce/@18.5228446,73.6947722,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c07c1e611dcf:0x99c0bffa66bb0ac2!8m2!3d18.5262182!4d73.8453756!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQdjb2xsZWdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJxZFhSRVRHbDNSUkFCqgFHEAEqDCIIY29sbGVnZXMoADIfEAEiG9oYHi2IGNbt5DKWWq2W9CuMp23J_apV4NqxMjIUEAIiEGNvbGxlZ2VzIGluIHB1bmXgAQD6AQQIABBH!16s%2Fg%2F11fyzcn7m_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","GRGW+F5J, Modern Engineering College Rd, Sumukh Society, Shivajinagar, Pune, Maharashtra 411005"
FLAME University,"https://www.google.com/maps/place/FLAME+University/@18.5233078,73.5875428,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2bc338f698dd1:0x26bb10488cf7fe3c!8m2!3d18.5233078!4d73.7317384!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSARJwcml2YXRlX3VuaXZlcnNpdHmqAUcQASoMIghjb2xsZWdlcygAMh8QASIb2hgeLYgY1u3kMpZarZb0K4ynbcn9qlXg2rEyMhQQAiIQY29sbGVnZXMgaW4gcHVuZeABAA!16s%2Fg%2F11bw7s1qz1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Gat No. 1270, Lavale, Off. Pune Bangalore Highway, Pune, Maharashtra 412115"
COEP Technological University,"https://www.google.com/maps/place/COEP+Technological+University/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c0883858b873:0x1d68fbf2cac75519!8m2!3d18.5303935!4d73.8563868!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQp1bml2ZXJzaXR5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41TW1NeVJuRlJSUkFCqgFHEAEqDCIIY29sbGVnZXMoADIfEAEiG9oYHi2IGNbt5DKWWq2W9CuMp23J_apV4NqxMjIUEAIiEGNvbGxlZ2VzIGluIHB1bmXgAQD6AQQIABBA!16zL20vMDZkZnRr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Wellesley Rd, Shivajinagar, Pune, Maharashtra 411005"
"Poona College of Arts, Science and Commerce","https://www.google.com/maps/place/Poona+College+of+Arts,+Science+and+Commerce/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c150f5de1f1b:0x896d346c7dc627a4!8m2!3d18.5061541!4d73.8747821!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQdjb2xsZWdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTjI5TWFERlJSUkFCqgFHEAEqDCIIY29sbGVnZXMoADIfEAEiG9oYHi2IGNbt5DKWWq2W9CuMp23J_apV4NqxMjIUEAIiEGNvbGxlZ2VzIGluIHB1bmXgAQD6AQQIABA_!16s%2Fm%2F0cr425y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Hidayatulla Rd, Katad Khana, Pune, Maharashtra 411002"
Nowrosjee Wadia College,"https://www.google.com/maps/place/Nowrosjee+Wadia+College/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c0f86684e599:0x178af5f825e644cc!8m2!3d18.5330164!4d73.8798336!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQdjb2xsZWdlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQTW1SWGNFcG5FQUWqAUcQASoMIghjb2xsZWdlcygAMh8QASIb2hgeLYgY1u3kMpZarZb0K4ynbcn9qlXg2rEyMhQQAiIQY29sbGVnZXMgaW4gcHVuZeABAPoBBAgAEEY!16s%2Fm%2F0ch4m7y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","8, Bund Garden Rd, Sangamvadi, Pune, Maharashtra 411001"
AISSMS College of Engineering,"https://www.google.com/maps/place/AISSMS+College+of+Engineering/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c0f555bf965d:0x4dbf1000c873a42d!8m2!3d18.5311701!4d73.8656595!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQdjb2xsZWdlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50TjBwaE1WZEJFQUWqAUcQASoMIghjb2xsZWdlcygAMh8QASIb2hgeLYgY1u3kMpZarZb0K4ynbcn9qlXg2rEyMhQQAiIQY29sbGVnZXMgaW4gcHVuZeABAPoBBAgAEEI!16zL20vMDZ5Y2Yz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","No. 1, Kennedy Road, Near RTO Office Sangamvadi, Shivajinagar, Pune, Maharashtra 411001"
MIT World Peace University (MIT-WPU),"https://www.google.com/maps/place/MIT+World+Peace+University+(MIT-WPU)/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2bfb9e53a05f9:0x2be5e8da02be693e!8m2!3d18.5177559!4d73.8151112!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSAQp1bml2ZXJzaXR5qgFHEAEqDCIIY29sbGVnZXMoADIfEAEiG9oYHi2IGNbt5DKWWq2W9CuMp23J_apV4NqxMjIUEAIiEGNvbGxlZ2VzIGluIHB1bmXgAQA!16s%2Fm%2F04d_4lg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Survey No, 124, Paud Rd, Kothrud, Pune, Maharashtra 411038"
"Sinhgad College of Engineering, Pune","https://www.google.com/maps/place/Sinhgad+College+of+Engineering,+Pune/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2bf8d94414f8f:0xc6091a80e79be235!8m2!3d18.4679772!4d73.836784!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSARJlbmdpbmVlcmluZ19zY2hvb2yqAUcQASoMIghjb2xsZWdlcygAMh8QASIb2hgeLYgY1u3kMpZarZb0K4ynbcn9qlXg2rEyMhQQAiIQY29sbGVnZXMgaW4gcHVuZeABAA!16s%2Fg%2F11css79yvc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","S. No. 44/1, Off, Sinhgad Rd, Vadgaon Budruk, Pune, Maharashtra 411041"
Azam Campus,"https://www.google.com/maps/place/Azam+Campus/@18.5303935,73.7121912,12z/data=!4m10!1m2!2m1!1scolleges+in+pune!3m6!1s0x3bc2c040a0e98563:0x9dd3ef6ef8904dbd!8m2!3d18.5059184!4d73.8764073!15sChBjb2xsZWdlcyBpbiBwdW5lWhIiEGNvbGxlZ2VzIGluIHB1bmWSARBlZHVjYXRpb25fY2VudGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15T0dKSU4xbG5FQUWqAUcQASoMIghjb2xsZWdlcygAMh8QASIb2hgeLYgY1u3kMpZarZb0K4ynbcn9qlXg2rEyMhQQAiIQY29sbGVnZXMgaW4gcHVuZeABAPoBBAgAEEs!16s%2Fg%2F1tdl4lcj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","2390-B, K.B, Hidayatulla Rd, Azam Campus, Pune Cantonment, Pune, Maharashtra 411001"
