Name,URL,Address
Amarai Farms,"https://www.google.com/maps/place/Amarai+Farms/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1be5ca79fc61:0xab7d748d9cfc890!8m2!3d28.5279734!4d77.0863626!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBDXdlZGRpbmdfdmVudWWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlielIyVlUxbkVBRaoBQRABKgkiBWZhcm1zKAAyHhABIhoyXe_SzKYlYka1o4fR1wUXw-awz9qk8DuAHzISEAIiDmZhcm1zIGluIGRlbGhp4AEA-gEECDEQMQ!16s%2Fg%2F11c60k7pfh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Khasra No 375, Amarai Farms, Old Delhi Gurugram Rd, near Police Chowki, Kapas Hera, New Delhi, Delhi 110097"
Mithu Farm No 23 (New Moglys Farm),"https://www.google.com/maps/place/Mithu+Farm+No+23+(New+Moglys+Farm)/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1b2ca3a1fd33:0xde00e8e4269f7b57!8m2!3d28.5311673!4d77.0640807!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlPRTlxTFRkUlJSQUKqAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAPoBBAgAEEw!16s%2Fg%2F11j0bk1cks?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","23 mithu farms, Bijwasan, Delhi, 110061"
Celby Farms,"https://www.google.com/maps/place/Celby+Farms/@28.5279734,76.942167,12z/data=!4m13!1m2!2m1!1sfarms+in+delhi!3m9!1s0x390d1f7299694403:0x197a9feded477e70!5m2!4m1!1i2!8m2!3d28.4430321!4d77.1485348!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBEnByaXZhdGVfZ3Vlc3Rfcm9vbZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSb2RDMVVXV2hCUlJBQqoBQRABKgkiBWZhcm1zKAAyHhABIhoyXe_SzKYlYka1o4fR1wUXw-awz9qk8DuAHzISEAIiDmZhcm1zIGluIGRlbGhp4AEA-gEECAAQMw!16s%2Fg%2F11h_v64crq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Celby Farms Farm, Mandi Retreat, 4, Dera Mandi Rd, near police chowki, Dera Village, Mandi, New Delhi, Delhi 110074"
Westend Greens,"https://www.google.com/maps/place/Westend+Greens/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1c0415555555:0x7d102d8a66ef925c!8m2!3d28.5284618!4d77.1096829!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnNOWE15VW1SM0VBRaoBQRABKgkiBWZhcm1zKAAyHhABIhoyXe_SzKYlYka1o4fR1wUXw-awz9qk8DuAHzISEAIiDmZhcm1zIGluIGRlbGhp4AEA-gEECAAQJA!16s%2Fg%2F11c1x8z9by?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","G4H5+9VM, Cassia Ave, Avenue Bouganvillea, Rangpuri, New Delhi, Delhi 110038"
K-Farms,"https://www.google.com/maps/place/K-Farms/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1be4bcd3d2a5:0xc3341fa0798b03c9!8m2!3d28.5258831!4d77.0896798!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjFiVnBIU210UlJSQUKqAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAPoBBAgAEB0!16s%2Fg%2F11bbrgkg99?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","#3, Rajokri Road, Kapas Hera Estate, near Atul Farms, New Delhi, Delhi 110097"
Saroj Jain Vatika - Best Farmhouse in Delhi NCR,"https://www.google.com/maps/place/Saroj+Jain+Vatika+-+Best+Farmhouse+in+Delhi+NCR/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d19a7e2e86da5:0x10ece4de547617d2!8m2!3d28.51396!4d77.064346!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2qAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAA!16s%2Fg%2F11fqw0f4zv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","771, Sector 21E, Sector 23, Gurugram, Delhi, 110061"
Mokshpuri Farm,"https://www.google.com/maps/place/Mokshpuri+Farm/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1bfc2390683d:0x6f5df79c9c7490b!8m2!3d28.5234221!4d77.0958723!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmxjMHBYVGxabkVBRaoBQRABKgkiBWZhcm1zKAAyHhABIhoyXe_SzKYlYka1o4fR1wUXw-awz9qk8DuAHzISEAIiDmZhcm1zIGluIGRlbGhp4AEA-gEECAAQDg!16s%2Fg%2F11ckqn6zbj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","9, Rao Matadin Yadav Marg, D Block, Samalka, New Delhi, Delhi 110097"
Aasara Farms,"https://www.google.com/maps/place/Aasara+Farms/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d19579b74abcb:0xdaf6b1e8ebc7bdf5!8m2!3d28.5171391!4d77.0907533!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlibUV6VjI5UlJSQUKqAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAPoBBAgAEDI!16s%2Fg%2F11bx564xw1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","51, Delhi - Jaipur Expy, D Block, Kapas Hera Estate, New Delhi, Delhi 110097"
SS Farms,"https://www.google.com/maps/place/SS+Farms/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1e8f0ca00b29:0x4c2edd2ad8e1bc5b!8m2!3d28.5122145!4d77.1394752!15sCg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2qAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAA!16s%2Fg%2F1q6j2yfz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","Church Rd, Shanti Kunj B Block, Vasant Kunj, New Delhi, Delhi 110070"
Anand Farm,"https://www.google.com/maps/place/Anand+Farm/@28.5279734,76.942167,12z/data=!4m10!1m2!2m1!1sfarms+in+delhi!3m6!1s0x390d1b54ab3f4d65:0x902d6da9ff3c7373!8m2!3d28.5210336!4d77.0521177!15sCg5mYXJtcyBpbiBkZWxoaVoQIg5mYXJtcyBpbiBkZWxoaZIBBGZhcm2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNjRXQ2T1c1M1JSQUKqAUEQASoJIgVmYXJtcygAMh4QASIaMl3v0symJWJGtaOH0dcFF8PmsM_apPA7gB8yEhACIg5mYXJtcyBpbiBkZWxoaeABAPoBBAgAECM!16s%2Fg%2F11rjv8nyjh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D","G3C2+CR, Bijwasan, Delhi, 110061"
