Company Name,Location,Phone,URL
Susakgjyo Bussiness Private Limited,Gurugram,07942958208,https://www.indiamart.com/susakgjyo-bussiness/?pos=1&kwd=healthcare&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Elpisverse,New Delhi,07949324212,https://www.indiamart.com/elpisverse/?pos=2&kwd=healthcare&tags=rk:A||dt:28|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_A_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Equalitas Systemcert Private Limited,New Delhi,07942710282,https://www.indiamart.com/equalitas-systemcert/?pos=3&kwd=healthcare&tags=rk:B||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_B_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
George Institute For Global Health,New Delhi,"08044464736,1600",https://www.indiamart.com/the-george-institute-for-global-health/?pos=4&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Optima Insurance Brokers Private Limited,New Delhi,"08044017167,2913",https://www.indiamart.com/optimainsurance/?pos=5&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Biotech Healthcare Limited,New Delhi,"08047649408,4128",https://www.indiamart.com/bio-tech-self-care-limited/?pos=6&kwd=healthcare&tags=rk:C||dt:28|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Blueocean Healthcare International Private Limited,Noida,"08047825092,1550",https://www.indiamart.com/blueocean-healthcare-international/?pos=7&kwd=healthcare&tags=rk:C||dt:36|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Hrhonchos Consulting & Solutions Private Limited,Ghaziabad,"08044464594,6793",https://www.indiamart.com/hrhonchos-consulting-and-solutions/?pos=8&kwd=healthcare&tags=rk:C||dt:47|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_50_NP-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Sage Herbals Private Limited,Hapur,08046031505,https://www.sageherbals.in/?pos=9&kwd=healthcare&tags=rk:A|plc:1|dt:79|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|ri:T_A_100_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
Pravartan Technologies Private Limited,Gurgaon,"08047812548,5218",https://www.indiamart.com/pravartan-technologies-private-limited/?pos=10&kwd=healthcare&tags=rk:C|plc:1|dt:0|db:01||dtp:p||sv:VGP|rsf:gd|ri:VGP_C_0_P-|-res:RC3|ktp:SA1|mtp:S|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15300|com-cf:nl|ptrs:na|mc:170566|cat:332|qry_typ:S|lang:en|rtn:5-0-2-0-2-0-1|tyr:2|qrd:250813|mrd:250812|prdt:250813|msf:ls|gli:G0I1|v=4|crs=glb
