Name,URL,Address
Chaumukha Darwaza,"https://www.google.com/maps/place/Chaumukha+Darwaza/@28.523483,77.0432434,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1e06a2431c2f:0x50e3fa9532d86428!8m2!3d28.523483!4d77.187439!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOd2VUbElXV3RSUlJBQqoBUhABKhYiEmhpc3RvcmljIG1vbnVtZW50cygAMh4QASIaYt0WxXuqiFn8NibULLSWBVtdAWHwhqoPZMsyFhACIhJoaXN0b3JpYyBtb251bWVudHPgAQD6AQQIABAq!16s%2Fg%2F11cjpf2lmq?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G5FP+9X New Delhi, Delhi"
Sultan Ghari,"https://www.google.com/maps/place/Sultan+Ghari/@28.523483,77.0432434,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1c2f89a4cc0f:0xd01e4894e3b10b2b!8m2!3d28.5333902!4d77.1370714!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgENaGlzdG9yaWNfc2l0ZaoBUhABKhYiEmhpc3RvcmljIG1vbnVtZW50cygAMh4QASIaYt0WxXuqiFn8NibULLSWBVtdAWHwhqoPZMsyFhACIhJoaXN0b3JpYyBtb251bWVudHPgAQA!16s%2Fm%2F05zll6m?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G4MP+9R4, Garhi's Tomb Rd, Ruchi Vihar, Vasant Kunj, New Delhi, Delhi 110070"
National Flag Kakrola,"https://www.google.com/maps/place/National+Flag+Kakrola/@28.523483,77.0432434,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d0554ed7500d7:0xbdbb04b82df5b225!8m2!3d28.6058354!4d77.0145772!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya6oBUhABKhYiEmhpc3RvcmljIG1vbnVtZW50cygAMh4QASIaYt0WxXuqiFn8NibULLSWBVtdAWHwhqoPZMsyFhACIhJoaXN0b3JpYyBtb251bWVudHPgAQA!16s%2Fg%2F11c5h2zqnj?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Shahid Bhagat Singh Chowk,, Sector 16B Dwarka, Dwarka, Delhi, 110078"
"Shah Tomb,Delhi","https://www.google.com/maps/place/Shah+Tomb,Delhi/@28.590971,77.0741129,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390ce2ed3a62cbd1:0x7165949411fe46d!8m2!3d28.590971!4d77.2183085!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOb2NXTnBSbGhuRUFFqgFSEAEqFiISaGlzdG9yaWMgbW9udW1lbnRzKAAyHhABIhpi3RbFe6qIWfw2JtQstJYFW10BYfCGqg9kyzIWEAIiEmhpc3RvcmljIG1vbnVtZW50c-ABAPoBBQjZAhBI!16s%2Fg%2F11c55wjnsq?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","94, Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003"
"Shah Tomb,Delhi","https://www.google.com/maps/place/NHAI+Monument,+Delhi+Cantonment/@28.5854618,77.0024965,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1d5b41c14507:0xdc72663e126b9804!8m2!3d28.5854618!4d77.1466921!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWFrNXFka1JSRUFFqgFSEAEqFiISaGlzdG9yaWMgbW9udW1lbnRzKAAyHhABIhpi3RbFe6qIWfw2JtQstJYFW10BYfCGqg9kyzIWEAIiEmhpc3RvcmljIG1vbnVtZW50c-ABAPoBBAgAEBo!16s%2Fg%2F11rqflzwn3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","94, Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003"
"NHAI Monument, Delhi Cantonment","https://www.google.com/maps/place/NHAI+Monument,+Delhi+Cantonment/@28.5854618,77.0024965,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1d5b41c14507:0xdc72663e126b9804!8m2!3d28.5854618!4d77.1466921!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWFrNXFka1JSRUFFqgFSEAEqFiISaGlzdG9yaWMgbW9udW1lbnRzKAAyHhABIhpi3RbFe6qIWfw2JtQstJYFW10BYfCGqg9kyzIWEAIiEmhpc3RvcmljIG1vbnVtZW50c-ABAPoBBAgAEBo!16s%2Fg%2F11rqflzwn3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H4PW+5MP, NH 48, Asmara Lines, Delhi Cantonment, New Delhi, Delhi 110010"
"Flag of India at Central Park, Connaught Place","https://www.google.com/maps/place/Flag+of+India+at+Central+Park,+Connaught+Place/@28.6320633,77.0752095,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390cfd364cbee617:0xaf916add99adde!8m2!3d28.6320633!4d77.2194051!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya6oBUhABKhYiEmhpc3RvcmljIG1vbnVtZW50cygAMh4QASIaYt0WxXuqiFn8NibULLSWBVtdAWHwhqoPZMsyFhACIhJoaXN0b3JpYyBtb251bWVudHPgAQA!16s%2Fm%2F010v_kh7?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","J6J9+RQC, Connaught Place, New Delhi, Delhi 110001"
Bhool Bhulaiya,"https://www.google.com/maps/place/Bhool+Bhulaiya/@28.52308,77.0378358,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1e08b0b59911:0x1bbc6bf6346b4275!8m2!3d28.52308!4d77.1820314!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNelowdEhPRlZuRUFFqgFSEAEqFiISaGlzdG9yaWMgbW9udW1lbnRzKAAyHhABIhpi3RbFe6qIWfw2JtQstJYFW10BYfCGqg9kyzIWEAIiEmhpc3RvcmljIG1vbnVtZW50c-ABAPoBBAgAEDw!16s%2Fg%2F1tdpdl3z?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Seth Sarai, Mehrauli, New Delhi, Delhi 110030"
"Isa Khan's Tomb, Delhi","https://www.google.com/maps/place/Isa+Khan's+Tomb,+Delhi/@28.52308,77.0378358,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390ce31ca9cdc8ef:0xf1ad57820b3f6d48!8m2!3d28.592289!4d77.246214!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuVFVSUk56VmhRekJSUlJBQqoBUhABKhYiEmhpc3RvcmljIG1vbnVtZW50cygAMh4QASIaYt0WxXuqiFn8NibULLSWBVtdAWHwhqoPZMsyFhACIhJoaXN0b3JpYyBtb251bWVudHPgAQD6AQQIABBI!16s%2Fg%2F12364yp_?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Humayun's Tomb complex, Mathura Rd, Nizamuddin, Nizamuddin East, New Delhi, Delhi 110044"
"Bara Lao Ka Gumbad, Delhi","https://www.google.com/maps/place/Bara+Lao+Ka+Gumbad,+Delhi/@28.52308,77.0378358,12z/data=!4m10!1m2!2m1!1shistoric+monuments!3m6!1s0x390d1da1b6bfd357:0x82c2c11d77fbf254!8m2!3d28.5590207!4d77.1653928!15sChJoaXN0b3JpYyBtb251bWVudHNaFCISaGlzdG9yaWMgbW9udW1lbnRzkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOWkxVOXlPRXRuRUFFqgFSEAEqFiISaGlzdG9yaWMgbW9udW1lbnRzKAAyHhABIhpi3RbFe6qIWfw2JtQstJYFW10BYfCGqg9kyzIWEAIiEmhpc3RvcmljIG1vbnVtZW50c-ABAPoBBQidARA0!16s%2Fg%2F11t7lp4r9j?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H558+J52, Basant Lok, Vasant Vihar, New Delhi, Delhi 110057"
