Name,URL,Address
"Ambience Mall, Vasant Kunj","https://www.google.com/maps/place/Ambience+Mall,+Vasant+Kunj/@28.5414101,77.0109403,12z/data=!3m1!5s0x390d1dce982775f1:0xd1775789fbaf1c14!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1dbecef239fd:0xae39b6e3adbb268b!8m2!3d28.5414101!4d77.1551359!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11ckqsvj9x?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","2, Nelson Mandela Marg, Ambience Island, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070"
Vasant Square Mall,"https://www.google.com/maps/place/Vasant+Square+Mall/@28.5414101,77.0109403,12z/data=!3m1!5s0x390d1e7888cd5a7b:0x10f2abeda53c0912!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1e789a00eba9:0x4a05fe17a00f750d!8m2!3d28.524943!4d77.1564723!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11bztdplrh?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Vasant Kunj Rd, Pocket 5, Sector B, Vasant Kunj, New Delhi, Delhi 110070"
DLF Promenade,"https://www.google.com/maps/place/DLF+Promenade/@28.5414101,77.0109403,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1dce96eb3acd:0xd39b01d0a6ebd44f!8m2!3d28.5423717!4d77.1562661!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fm%2F0vzrhdv?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","3, Nelson Mandela Marg, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070"
"AMBIENCE MALL, GURUGRAM","https://www.google.com/maps/place/AMBIENCE+MALL,+GURUGRAM/@28.5414101,77.0109403,12z/data=!3m1!5s0x390d194e9e7230ed:0x2ee084f3cee68204!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1938456789c7:0x45a757aa37e73026!8m2!3d28.5056477!4d77.0962213!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11c1ndmxzt?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","NH- 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002"
Vegas Mall,"https://www.google.com/maps/place/Vegas+Mall/@28.6007474,76.8853764,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1dd61eb460af:0xe89377d97456bc5e!8m2!3d28.6007474!4d77.029572!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11fcs40sx8?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot no 6, North, Pocket 1, Sector 14 Dwarka, Dwarka, Delhi, 110078"
Pacific D21 Mall,"https://www.google.com/maps/place/Pacific+D21+Mall/@28.6007474,76.8853764,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1b0fd98b09a1:0xb8f6a564c61b7722!8m2!3d28.5523641!4d77.0578712!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11fpn1wtry?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Dwarka Sector 21 Metro Station, Dwarka, Delhi, 110077"
"City Centre, Dwarka","https://www.google.com/maps/place/City+Centre,+Dwarka/@28.6007474,76.8853764,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1ac5ae5b87cf:0xf17eefa3227d274!8m2!3d28.5926266!4d77.0414886!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11b_2q2hmq?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot No.5, 12, Metro Station Rd, Pocket 8, Block B, Sector 12 Dwarka, Dwarka, New Delhi, Delhi, 110077"
The Chanakya,"https://www.google.com/maps/place/The+Chanakya/@28.5843214,77.0465179,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1d7cf1af259b:0x3e5484503afa179a!8m2!3d28.5843214!4d77.1907135!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11fzcwjtj0?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Yashwant Place Commercial Complex Opposite Chanakyapuri Post Office, Chanakyapuri, New Delhi, Delhi 110021"
DLF Emporio,"https://www.google.com/maps/place/DLF+Emporio/@28.5843214,77.0465179,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1dced5531f8d:0xf44704514f7d1e1a!8m2!3d28.543455!4d77.1566949!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fm%2F03g_t4x?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","4, Nelson Mandela Marg, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070"
"Soul City Mall, Dwarka","https://www.google.com/maps/place/Soul+City+Mall,+Dwarka/@28.5965158,76.892011,12z/data=!4m10!1m2!2m1!1smalls+in+delhi!3m6!1s0x390d1ac858dcb3f5:0x2e323c8637bf9612!8m2!3d28.5965158!4d77.0362066!15sCg5tYWxscyBpbiBkZWxoaVoQIg5tYWxscyBpbiBkZWxoaZIBD3Nob3BwaW5nX2NlbnRlcqoBQRABKgkiBW1hbGxzKAAyHhABIhq0jNO68eysWoFhrmCX2kHU1GXZyLE_e-t2ojISEAIiDm1hbGxzIGluIGRlbGhp4AEA!16s%2Fg%2F11b6q5zt36?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H2WP+JF4, Sector 13, Kakrola, Delhi, 110078"
