Name,URL,Address
Osho Vatika Nursery,https://www.google.com/maps/search/nursery,"Rajiv Nagar, Sector 13, Gurugram, Haryana 122015"
Osho Farm And Nursery,"https://www.google.com/maps/place/Osho+Farm+And+Nursery/@28.4837287,76.9786986,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1a2858e62afb:0x427f0855f137cb42!8m2!3d28.5179752!4d77.0468335!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1wbGFudF9udXJzZXJ5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIxYm05eFQxUjNFQUWqATwQASoLIgdudXJzZXJ5KAAyHhABIhoSjz6ciQ9T_4vA56LSA_7CLBcrRSLdiaTf4TILEAIiB251cnNlcnngAQD6AQQIABA8!16s%2Fg%2F11gdh5srv4?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G29W+5PW, Palam Farms, Gurugram, Haryana 122017"
Jagdamba Nursery,"https://www.google.com/maps/place/Jagdamba+Nursery/@28.4722487,76.9453759,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d19a1d3ee3487:0x80130251e50ce36a!8m2!3d28.4722487!4d77.0174737!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1wbGFudF9udXJzZXJ5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU10TnpSSFlTMUJSUkFCqgE8EAEqCyIHbnVyc2VyeSgAMh4QASIaEo8-nIkPU_-LwOei0gP-wiwXK0Ui3Ymk3-EyCxACIgdudXJzZXJ54AEA-gEECAAQRw!16s%2Fg%2F11fm0wv414?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot No 9, Raju Chawal, Inox Cinema, Palwal Mata Wali Gali, near Dreamz Mall, Urban Estate, Sector 7, Gurugram, Haryana 122001"
Green Heaven Plantscape,"https://www.google.com/maps/place/Green+Heaven+Plantscape/@28.4344574,77.0615484,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1fb31c0bfd8d:0x23433baf28f340f1!8m2!3d28.4344574!4d77.1336462!15sCgdudXJzZXJ5WgkiB251cnNlcnmSARd3aG9sZXNhbGVfcGxhbnRfbnVyc2VyeaoBPBABKgsiB251cnNlcnkoADIeEAEiGhKPPpyJD1P_i8DnotID_sIsFytFIt2JpN_hMgsQAiIHbnVyc2VyeeABAA!16s%2Fg%2F11gr5zfcyp?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Faridabad - Gurgaon Rd, opposite paras buildtech, Gwal Pahari, Bandhwari, Haryana 122003"
Garden World Nursery,"https://www.google.com/maps/place/Garden+World+Nursery/@28.4391579,76.9974719,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1890462b839b:0x70f075270da21505!8m2!3d28.4391579!4d77.0695697!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1nYXJkZW5fY2VudGVyqgE8EAEqCyIHbnVyc2VyeSgAMh4QASIaEo8-nIkPU_-LwOei0gP-wiwXK0Ui3Ymk3-EyCxACIgdudXJzZXJ54AEA!16s%2Fg%2F11gh0hj8q_?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Indira Colony, Indira Colony 1, Sector 52, Gurugram, Haryana 122003"
Huda Nursery,"https://www.google.com/maps/place/Huda+Nursery/@28.4391579,76.9974719,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d19af30e2e53d:0x340f9115e9a38aaa!8m2!3d28.4791721!4d77.0501475!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1wbGFudF9udXJzZXJ5mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1WmRHUkhTbUZsYXpSNVQwZHdSV1ZVVW1oUmEwMTVUVlY0VG1SWFl4QUKqATwQASoLIgdudXJzZXJ5KAAyHhABIhoSjz6ciQ9T_4vA56LSA_7CLBcrRSLdiaTf4TILEAIiB251cnNlcnngAQD6AQQIHxAl!16s%2Fg%2F1tg5sfx4?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","F3H2+M36, Sector 17, Gurugram, Haryana 122007"
Royal Nursery & Landscaping,"https://www.google.com/maps/place/Royal+Nursery+%26+Landscaping/@28.5250749,76.9785698,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1bfc97947637:0x29b8a67a319c7626!8m2!3d28.5250749!4d77.0506676!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1wbGFudF9udXJzZXJ5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJLZDJGeGNuWlJSUkFCqgE8EAEqCyIHbnVyc2VyeSgAMh4QASIaEo8-nIkPU_-LwOei0gP-wiwXK0Ui3Ymk3-EyCxACIgdudXJzZXJ54AEA-gEECAAQTA!16s%2Fg%2F11rw7ksk5f?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G3G2+76, Bijwasan, Delhi, 110061"
गंगा नर्सरी ऑनलाइन,"https://www.google.com/maps/place/%E0%A4%97%E0%A4%82%E0%A4%97%E0%A4%BE+%E0%A4%A8%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A4%B0%E0%A5%80+%E0%A4%91%E0%A4%A8%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%A8/@28.46242,77.017706,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d18da01f4e17b:0x46e7d1e557ef450e!8m2!3d28.46242!4d77.0898038!15sCgdudXJzZXJ5WgkiB251cnNlcnmSARd3aG9sZXNhbGVfcGxhbnRfbnVyc2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSaWMySjJTVUZSRUFFqgE8EAEqCyIHbnVyc2VyeSgAMh4QASIaEo8-nIkPU_-LwOei0gP-wiwXK0Ui3Ymk3-EyCxACIgdudXJzZXJ54AEA-gEECFwQQg!16s%2Fg%2F11c5qq_0qz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H. 522, Main Rd, Supermart-1, DLF Phase IV, Sector 27, Gurugram, Haryana 122009"
Plants Cart | Online Plants Delivery in Delhi-NCR,"https://www.google.com/maps/place/Plants+Cart+%7C+Online+Plants+Delivery+in+Delhi-NCR/@28.46242,77.017706,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1940daf6a4d7:0x951cd6ca532055a3!8m2!3d28.4754143!4d77.0754916!15sCgdudXJzZXJ5WgkiB251cnNlcnmSAQ1wbGFudF9udXJzZXJ5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5sYUVsRGRIUlJSUkFCqgE8EAEqCyIHbnVyc2VyeSgAMh4QASIaEo8-nIkPU_-LwOei0gP-wiwXK0Ui3Ymk3-EyCxACIgdudXJzZXJ54AEA-gEECCQQOw!16s%2Fg%2F11lfpsfz1g?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Phase 1, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009"
Green gold nursery,"https://www.google.com/maps/place/Green+gold+nursery/@28.5196081,76.9755826,13z/data=!4m10!1m2!2m1!1snursery!3m6!1s0x390d1994b74e4dcb:0xfb8f69b715bbf51c!8m2!3d28.5196081!4d77.0476804!15sCgdudXJzZXJ5kgENcGxhbnRfbnVyc2VyeaoBPBABKgsiB251cnNlcnkoADIeEAEiGhKPPpyJD1P_i8DnotID_sIsFytFIt2JpN_hMgsQAiIHbnVyc2VyeeABAA!16s%2Fg%2F11m_pbjrcg?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Ansal Plaza, Sector 1, Sector 23, Gurugram, Haryana 122017"
