Company Name,Location,Phone,URL
Universe Sales Enterprises,New Delhi,07942956877,https://www.indiamart.com/universesales-enterprises/?pos=1&kwd=purse&tags=rk:A||dt:28|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_A_50_NP-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
VRPS Handicrafts,New Delhi,08046077683,https://www.vrpshandicrafts.com/?pos=2&kwd=purse&tags=rk:A|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_A_50_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Radhika Textile & Company,New Delhi,07942622076,https://www.indiamart.com/radhika-textile-company/?pos=3&kwd=purse&tags=rk:B||dt:28|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_B_50_NP-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Knitwell Industries,Gurugram,08046035952,https://www.knitwellindustries.in/?pos=4&kwd=purse&tags=rk:T|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd|ri:T_T_0_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Vandana Enterprises,Gurugram,08048976895,https://www.indiamart.com/vandanaenterprisesgurgaon/?pos=5&kwd=purse&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_0_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Divya Enterprises,Gurugram,08048956690,https://www.indiamart.com/divya-enterprises-gurgaon/?pos=6&kwd=purse&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_T_0_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Lyftbharat,Gurugram,08044943914,https://www.indiamart.com/lyftbharat-gurugram/?pos=7&kwd=purse&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_0_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Lucid Upcycled Private Limited,Gurugram,08047658278,https://www.lucidgreenbags.com/?pos=8&kwd=purse&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_T_0_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Mehran Handicrafts,New Delhi,08047644782,https://www.indiamart.com/mehran-handicrafts/?pos=9&kwd=purse&tags=rk:T|plc:1|dt:28|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_T_50_P-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
Winspree Merchants Private Limited,New Delhi,08047634878,https://www.indiamart.com/winspree-merchants/?pos=10&kwd=purse&tags=rk:T||dt:28|db:01|prc:1|dtp:p||sv:T|rsf:gd|ri:T_T_50_NP-|-res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:gurugram|qr_nm:gl-gd|cs:15219|com-cf:nl|ptrs:na|mc:68692|cat:617|qry_typ:P|lang:en|rtn:0-0-0-0-2-8-0|tyr:2|qrd:250812|mrd:250601|prdt:250812|msf:ls|pfen:1|gli:G0I1|v=4|crs=glb
