Name,URL,Address
PVR MGF Gurugram,"https://www.google.com/maps/place/PVR+MGF+Gurugram/@28.4809085,76.9360842,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d1922634cd2ab:0xa63e87a22620f056!8m2!3d28.4809085!4d77.0802798!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F1pxq5fs8y?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","3rd floor, MGF Metropolitan Mall, Metro Station, near Mehrauli-Gurgaon Road, DLF Phase 2, Sector 25, Gurugram, Sarhol, Haryana 122002"
PVR Cinemas Pvt Ltd,"https://www.google.com/maps/place/PVR+Cinemas+Pvt+Ltd/@28.4809085,76.9360842,12z/data=!3m1!5s0x390d192850029ce7:0x860ae9724b8bfef9!4m10!1m2!2m1!1spvr+!3m6!1s0x390d19285a15f56f:0xb3dc67f4c6848bd1!8m2!3d28.4755556!4d77.0930556!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F1thp_2vl?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Golf Course Rd, Saraswati Vihar, DLF Phase 1, Gurugram, Haryana 122002"
PVR,"https://www.google.com/maps/place/PVR/@28.4809085,76.9360842,12z/data=!3m1!5s0x390d194e9e7230ed:0x2ee084f3cee68204!4m10!1m2!2m1!1spvr+!3m6!1s0x390d194bfefaf70b:0x7cf5d771fb2b553a!8m2!3d28.5040477!4d77.0974157!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11b708lhnd?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","NH- 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002"
PVR City Centre Gurgaon,"https://www.google.com/maps/place/PVR+City+Centre+Gurgaon/@28.4809085,76.9360842,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d198e6f02da51:0x6c5cbe63c92ce3f6!8m2!3d28.4791179!4d77.0805143!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11bwpz69zc?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","DLF-City Centre Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009"
PVR Cinemas Dwarka Sector 21,"https://www.google.com/maps/place/PVR+Cinemas+Dwarka+Sector+21/@28.4809085,76.9360842,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d1b77ed0085d5:0x9071a28f1bb37662!8m2!3d28.55247!4d77.0585182!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11j0w5qp95?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Pacific Mall Metro station, Sector 21, Dwarka, New Delhi, Delhi 110077"
PVR Star Mall Gurgaon,"https://www.google.com/maps/place/PVR+Star+Mall+Gurgaon/@28.4809085,76.9360842,12z/data=!3m1!5s0x390d1856faf7e23b:0x860ae972c0730930!4m10!1m2!2m1!1spvr+!3m6!1s0x390d18571e0e757f:0x11c8426c43972fdd!8m2!3d28.46122!4d77.05245!15sCgRwdnIgIgOIAQGSAQ1tb3ZpZV90aGVhdGVyqgFOCg0vZy8xMWJjNWxxdzhqCgkvbS8wY2o1MG0QASoHIgNwdnIoADIeEAEiGrNoUht9zOouFcOwvl5pl8dl04JNthWGF4IfMgcQAiIDcHZy4AEA!16s%2Fg%2F11bwpm3m__?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Star Mall - 2nd Floor, opposite 32nd Milestone, Sector 30, Gurugram, Haryana 122002"
PVR Vegas Kotak IMAX Dwarka,"https://www.google.com/maps/place/PVR+Vegas+Kotak+IMAX+Dwarka/@28.6008019,76.8854818,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d1b7d83f748a3:0x9525582182f9201!8m2!3d28.6008019!4d77.0296774!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11hz2qqgjh?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Vegas Mall, 3rd floor, Sector 14 Rd, Pocket 1, Sector 14 Dwarka, Kakrola, Delhi, 110078"
PVR ICON,"https://www.google.com/maps/place/PVR+ICON/@28.5428686,77.0112687,12z/data=!3m1!5s0x390d1dcec965407b:0xcee4a177c486da35!4m10!1m2!2m1!1spvr+!3m6!1s0x390d1dcec8155555:0x507b85727696bf01!8m2!3d28.5428686!4d77.1554643!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11csqh08hc?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","2nd Floor DLF Promenade Mall Nelson Mandela Road, Vasant Kunj Rd, Vasant Kunj II, New Delhi, Delhi 110070"
PVR Priya Vasant,"https://www.google.com/maps/place/PVR+Priya+Vasant/@28.5428686,77.0112687,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d1db0571d52b5:0x1525c31ad5b8a9df!8m2!3d28.5573804!4d77.1645077!15sCgRwdnIgIgOIAQFaBSIDcHZykgENbW92aWVfdGhlYXRlcqoBTgoNL2cvMTFiYzVscXc4agoJL20vMGNqNTBtEAEqByIDcHZyKAAyHhABIhqzaFIbfczqLhXDsL5eaZfHZdOCTbYVhheCHzIHEAIiA3B2cuABAA!16s%2Fg%2F11b706wh80?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","61, Community Center, Basant Lok, Vasant Vihar, New Delhi, Delhi 110027"
Pvr Ltd (Corporate Office),"https://www.google.com/maps/place/Pvr+Ltd+(Corporate+Office)/@28.5428686,77.0112687,12z/data=!4m10!1m2!2m1!1spvr+!3m6!1s0x390d192cfd2855f1:0xa9f63ed553651b9b!8m2!3d28.4962893!4d77.0931434!15sCgRwdnIgIgOIAQGSARBjb3Jwb3JhdGVfb2ZmaWNlqgFOCg0vZy8xMWJjNWxxdzhqCgkvbS8wY2o1MG0QASoHIgNwdnIoADIeEAEiGrNoUht9zOouFcOwvl5pl8dl04JNthWGF4IfMgcQAiIDcHZy4AEA!16s%2Fg%2F11hyn8r3y0?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","No, 9A, Road, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122010"
