Name,URL,Address
Venkateshwar International School,"https://www.google.com/maps/place/Venkateshwar+International+School/@28.596613,77.1551329,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1b1f81681f71:0x2188e0393cc7d5c7!8m2!3d28.5840126!4d77.057962!15sChBzY2hvb2xzIGluIGRlbGhpkgEGc2Nob29sqgFPCggvbS8wNnpkahABKgsiB3NjaG9vbHMoADIeEAEiGtlYG1Ptzid2ycwvndPO72kclSdph_ZVuQeCMhQQAiIQc2Nob29scyBpbiBkZWxoaeABAA!16s%2Fg%2F11b8075zhp?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Sector 10 Dwarka, Dwarka, New Delhi, Delhi, 110075"
"Prudence Schools - Top & Best CBSE School in Dwarka, Delhi","https://www.google.com/maps/place/Prudence+Schools+-+Top+%26+Best+CBSE+School+in+Dwarka,+Delhi/@28.5840126,76.9137664,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1b6ccb8667bb:0x1d1bdd45a1bb7357!8m2!3d28.5589881!4d77.0574006!15sChBzY2hvb2xzIGluIGRlbGhpkgELY2JzZV9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F11gsbb_m6s?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot No. 18, opp. Green Valley Apartment, Sector 22 Dwarka, Dwarka, New Delhi, Delhi, 110077"
Delhi International School Sector 23 Dwarka,"https://www.google.com/maps/place/Delhi+International+School+Sector+23+Dwarka/@28.5840126,76.9137664,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1b003867fd3d:0x878433e93e687c0c!8m2!3d28.564051!4d77.057636!15sChBzY2hvb2xzIGluIGRlbGhpkgEUaW50ZXJuYXRpb25hbF9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F1ptyk0zhc?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Service Rd, Sector 23, Dwarka, New Delhi, Delhi, 110075"
"New Era Public School - Best Schools in Mayapuri, Delhi","https://www.google.com/maps/place/New+Era+Public+School+-+Best+Schools+in+Mayapuri,+Delhi/@28.5840126,76.9137664,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d034f66f0f591:0xf9bd6db6246dca26!8m2!3d28.6251048!4d77.1178664!15sChBzY2hvb2xzIGluIGRlbGhpkgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26qAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fm%2F09k6d3n?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H-17, Mayapuri Rd, Mayapuri, New Delhi, Delhi, 110064"
Holy Trinity School I.p.extension East Delhi,"https://www.google.com/maps/place/Holy+Trinity+School+I.p.extension+East+Delhi/@28.6353599,77.1615116,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390cfb4d05db814b:0xd985bef33e55a3b8!8m2!3d28.6353599!4d77.3057072!15sChBzY2hvb2xzIGluIGRlbGhpkgEJcHJlc2Nob29sqgFPCggvbS8wNnpkahABKgsiB3NjaG9vbHMoADIeEAEiGtlYG1Ptzid2ycwvndPO72kclSdph_ZVuQeCMhQQAiIQc2Nob29scyBpbiBkZWxoaeABAA!16s%2Fg%2F11f57nmqcd?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot no.1, Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi, 110092"
ORCHIDS The International School - CBSE School in Dwarka Sector 19,"https://www.google.com/maps/place/ORCHIDS+The+International+School+-+CBSE+School+in+Dwarka+Sector+19/@28.5860684,76.8687757,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1a909c79dbcb:0xa60765bb2f5720d8!8m2!3d28.5860684!4d77.0129713!15sChBzY2hvb2xzIGluIGRlbGhpkgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26qAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F1tg9r1yv?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","near Sector 19, Goyla, Dwarka, New Delhi, Delhi, 110071"
"Swiss Cottage School, Bijwasan, Delhi","https://www.google.com/maps/place/Swiss+Cottage+School,+Bijwasan,+Delhi/@28.5860684,76.8687757,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d198a5d6e9cc3:0x5222efdaeaa590b7!8m2!3d28.5157786!4d77.0502157!15sChBzY2hvb2xzIGluIGRlbGhpkgELY2JzZV9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F1thspsdp?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Swiss Cottage School opposite sector 23 gurgaon, Bijwasan, New Delhi, Haryana 122017"
Delhi International School Edge,"https://www.google.com/maps/place/Delhi+International+School+Edge/@28.5860684,76.8687757,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1ab89879bc0b:0x8c2795478188940!8m2!3d28.589528!4d77.0324237!15sChBzY2hvb2xzIGluIGRlbGhpkgEUaW50ZXJuYXRpb25hbF9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F1hhv_35ff?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Sector 18, Sector 18A, Dwarka, New Delhi, Delhi, 110078"
Vasant Valley School,"https://www.google.com/maps/place/Vasant+Valley+School/@28.5334421,77.0000788,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1c2dca9fdfe5:0xd8b5e5dc38264933!8m2!3d28.5334421!4d77.1442744!15sChBzY2hvb2xzIGluIGRlbGhpkgELY2JzZV9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16zL20vMDV2cGMw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Vasant Kunj Rd, Pocket 7, Sector C, Vasant Kunj, New Delhi, Delhi 110070"
Modern International School,"https://www.google.com/maps/place/Modern+International+School/@28.578845,76.9099124,12z/data=!4m10!1m2!2m1!1sschools+in+delhi!3m6!1s0x390d1ae2297620f1:0xfb20143b1d4b107a!8m2!3d28.578845!4d77.054108!15sChBzY2hvb2xzIGluIGRlbGhpkgEUaW50ZXJuYXRpb25hbF9zY2hvb2yqAU8KCC9tLzA2emRqEAEqCyIHc2Nob29scygAMh4QASIa2VgbU-3OJ3bJzC-d087vaRyVJ2mH9lW5B4IyFBACIhBzY2hvb2xzIGluIGRlbGhp4AEA!16s%2Fg%2F1tg77fkb?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Sector-19, Dwarka, New Delhi, Delhi 110075"
