Name,URL,Address
Daffodil Software,"https://www.google.com/maps/place/Daffodil+Software/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d181b03ac9f6f:0x3ec5a92a519f94ad!8m2!3d28.4650915!4d77.056362!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YTWt4SFRVMUJFQUWqAVgKCC9tLzAxbWYwEAEqFCIQc29mdHdhcmUgY29tcGFueSgAMh4QASIalkIzE9T-a_DJ1N7Qo2sWie5877ox0TLb914yFBACIhBzb2Z0d2FyZSBjb21wYW554AEA-gEECAAQQQ!16s%2Fg%2F1vxfyk2c?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","9th Floor, Tower B1, World Tech Park, DLF, NH8, Sector 30, Gurugram, Haryana 122001"
Knocial India Limited,"https://www.google.com/maps/place/Knocial+India+Limited/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d19174792f4db:0xcb5f589caa71b6e7!8m2!3d28.5042395!4d77.0651981!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU52Tm5GRWVIVkJSUkFCqgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAPoBBAgAEEw!16s%2Fg%2F11r3w64lk6?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","60B, Udyog Vihar, Sector 22, Gurugram, Haryana 122015"
Panchisoft,"https://www.google.com/maps/place/Panchisoft/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d1990db19986d:0x76f7bda3736fe4c4!8m2!3d28.5014164!4d77.0380527!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVIzZEdaZlFpMW5SUkFCqgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAPoBBAgAEEI!16s%2Fg%2F11gcm02f35?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","H-166, Street Number 2, I Block, H- Block, Dharam Colony, Palam Vihar Extension, Gurugram, Haryana 122017"
AppsAiT,"https://www.google.com/maps/place/AppsAiT/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d195d5d6dc493:0xca01c34a55ff3ecd!8m2!3d28.5007654!4d77.0541925!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55qgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAA!16s%2Fg%2F11lcpl3bz6?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Ashok Vihar, Phase II, Cartarpuri Alias Daulatpur Nas, Gurugram, Haryana 122001"
"Amdocs Development Center India LLP, Gurgaon, Haryana","https://www.google.com/maps/place/Amdocs+Development+Center+India+LLP,+Gurgaon,+Haryana/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d1965b28ba02d:0x88d684ad4cb1bce2!8m2!3d28.5093747!4d77.0722984!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJvTUhWeFdIUm5SUkFCqgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAPoBBAgAEBs!16s%2Fg%2F11b7720mrj?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Tower C, Building No. 3, Unitech Infospace, Old Delhi Gurugram Rd, Dundahera Village, Sector 21, Gurugram, Haryana 122016"
Incedo Inc.,"https://www.google.com/maps/place/Incedo+Inc./@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d194750e12601:0x35dc020ed851aa3c!8m2!3d28.4978668!4d77.0821045!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJVYzBweE1rTm5FQUWqAVgKCC9tLzAxbWYwEAEqFCIQc29mdHdhcmUgY29tcGFueSgAMh4QASIalkIzE9T-a_DJ1N7Qo2sWie5877ox0TLb914yFBACIhBzb2Z0d2FyZSBjb21wYW554AEA-gEECAAQTA!16s%2Fg%2F1hc2gyjzw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot No.-248, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
Yugasa Software Labs,"https://www.google.com/maps/place/Yugasa+Software+Labs/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d192011ac32c5:0x8df7f0aebfa43783!8m2!3d28.4436286!4d77.055836!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QTkdGWU0yTkJFQUWqAVgKCC9tLzAxbWYwEAEqFCIQc29mdHdhcmUgY29tcGFueSgAMh4QASIalkIzE9T-a_DJ1N7Qo2sWie5877ox0TLb914yFBACIhBzb2Z0d2FyZSBjb21wYW554AEA-gEECAAQPA!16s%2Fg%2F11bwf97bjj?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","3rd Floor, Yugasa Software Labs, Tower-B, UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122001"
HostBooks Limited,"https://www.google.com/maps/place/HostBooks+Limited/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d196c33095b5b:0x99d278fbba283866!8m2!3d28.5000094!4d77.0764011!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55qgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAA!16s%2Fg%2F11bwmtvj6j?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","1st Floor, Nimai Tower, 412-415, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
XeliumTech Solutions - Best Mobile App Development Company,"https://www.google.com/maps/place/XeliumTech+Solutions+-+Best+Mobile+App+Development+Company/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d04dd5b5a36ef:0xc6294dd24c52409!8m2!3d28.4991502!4d77.0675995!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5DYUdKRFdrcFJFQUWqAVgKCC9tLzAxbWYwEAEqFCIQc29mdHdhcmUgY29tcGFueSgAMh4QASIalkIzE9T-a_DJ1N7Qo2sWie5877ox0TLb914yFBACIhBzb2Z0d2FyZSBjb21wYW554AEA-gEECAAQLQ!16s%2Fg%2F11bbtc32k0?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Xeliumtech Solutions - Mobile App Development Company, 5, Tenon Ln, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
Nagarro,"https://www.google.com/maps/place/Nagarro/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d192fc20b97e7:0x3048b25634f6d955!8m2!3d28.4910636!4d77.067343!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yYkhBdGFEWjNSUkFCqgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAPoBBAgxECU!16s%2Fg%2F11h5rd1cyk?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Plot 6B, Sub. Major Laxmi Chand Rd, Maruti Udyog, Sector 18, Sarhol, Gurugram, Haryana 122015"
Sage Software Solutions Pvt Ltd | ERP & CRM Provider in Gurugram,"https://www.google.com/maps/place/Sage+Software+Solutions+Pvt+Ltd+%7C+ERP+%26+CRM+Provider+in+Gurugram/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d2340cf3b81ff:0x3a15d5780cb1f829!8m2!3d28.418723!4d77.0383319!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55qgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAA!16s%2Fg%2F11f9vs4h62?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Tower-A, IRIS Tech Park, 306 C, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
Binary Semantics Limited,"https://www.google.com/maps/place/Binary+Semantics+Limited/@28.4650915,76.9842642,13z/data=!4m10!1m2!2m1!1ssoftware+company!3m6!1s0x390d191100000001:0x424476192b3b5b5b!8m2!3d28.5018823!4d77.0701466!15sChBzb2Z0d2FyZSBjb21wYW55WhIiEHNvZnR3YXJlIGNvbXBhbnmSARBzb2Z0d2FyZV9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5HYW5GcGVIaEJSUkFCqgFYCggvbS8wMW1mMBABKhQiEHNvZnR3YXJlIGNvbXBhbnkoADIeEAEiGpZCMxPU_mvwydTe0KNrFonufO-6MdEy2_deMhQQAiIQc29mdHdhcmUgY29tcGFueeABAPoBBAgkEEs!16s%2Fg%2F1tls16x8?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","PLot no, 38, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
