Name,URL,Address
"Shiv ji Temple, Gurugram, Delhi NCR","https://www.google.com/maps/place/Shiv+ji+Temple,+Gurugram,+Delhi+NCR/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d1983c151ef49:0x456922e013b65f8e!8m2!3d28.5089218!4d77.0525327!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRzVlUwd1RtRmtiRlV4V2tSc2JXUlZVbk5OTURoMFducG9OVkZyUlJBQqoBPBABKgsiB3RlbXBsZXMoADIeEAEiGiKNY-GlUEZzsxIBkEYm4c9_dL4gM72l_GW5MgsQAiIHdGVtcGxlc-ABAPoBBQjhARBD!16s%2Fg%2F11h0kbyh7?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G353+H27, Sector 23, Gurugram, Haryana 122017"
"Ancient Shiv Temple, Carterpuri, Gurugram","https://www.google.com/maps/place/Ancient+Shiv+Temple,+Carterpuri,+Gurugram/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d198f5809d1db:0xe9d73693572b2741!8m2!3d28.5085668!4d77.0440091!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTVibUpYWkROQlJSQUKqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQD6AQQIABAj!16s%2Fg%2F11c1wkq4ns?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","1334, Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122017"
"Shiv Shakti Hanuman Mandir, Purohit","https://www.google.com/maps/place/Shiv+Shakti+Hanuman+Mandir,+Purohit/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d195fd2c0e1b3:0xa2d213ea9cf6709e!8m2!3d28.496748!4d77.0562055!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRiRTFwYzA5UkVBRaoBPBABKgsiB3RlbXBsZXMoADIeEAEiGiKNY-GlUEZzsxIBkEYm4c9_dL4gM72l_GW5MgsQAiIHdGVtcGxlc-ABAPoBBAgAECM!16s%2Fg%2F11mhm5xxjz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","मोदी कार वाश, Om Vihar, Palam Vihar Extension, Gurugram, Haryana 122017"
"Shri Mata Sheetla Devi Mandir (Gurugram, Haryana)","https://www.google.com/maps/place/Shri+Mata+Sheetla+Devi+Mandir+(Gurugram,+Haryana)/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d19308fb38635:0xd93a681e1eb3e03c!8m2!3d28.4788252!4d77.0309732!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQA!16s%2Fg%2F11clyt6bj2?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Sheetla Mata Rd, Masani Village, Sector 6, Gurugram, Haryana 122001"
Radha Krishna Mandir,"https://www.google.com/maps/place/Radha+Krishna+Mandir/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d198e7e51564f:0x7558f2b60c921779!8m2!3d28.5057612!4d77.0394106!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhjM1J4T0hoUlJSQUKqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQD6AQQIABA6!16s%2Fg%2F1261tldn4?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G24Q+8Q3, Karterpuri, near Palam Traingle, Sector 23A, Gurugram, Haryana 122017"
Gauri Shankar Mandir,"https://www.google.com/maps/place/Gauri+Shankar+Mandir/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d193064a82011:0x6c646b8bc50c1ad1!8m2!3d28.489322!4d77.0890798!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUndORXBpTkc1M1JSQUKqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQD6AQQIABA9!16s%2Fg%2F11c6pr053b?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","N-12, Poorvi Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002"
"Shri Aadya Katyayani Shaktipith Mandir, Delhi","https://www.google.com/maps/place/Shri+Aadya+Katyayani+Shaktipith+Mandir,+Delhi/@28.5089218,76.9083371,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d1e3db550dba1:0x56e4d17f406c00a8!8m2!3d28.503125!4d77.1802777!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQA!16s%2Fm%2F065zq9n?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G53J+64R, Main Chhatarpur Rd, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074"
"Shri Aadya Katyayani Shaktipith Mandir, Delhi","https://www.google.com/maps/place/Shri+Aadya+Katyayani+Shaktipith+Mandir,+Delhi/@28.503125,77.0360821,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d1e3db550dba1:0x56e4d17f406c00a8!8m2!3d28.503125!4d77.1802777!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQA!16s%2Fm%2F065zq9n?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G53J+64R, Main Chhatarpur Rd, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074"
"Shri Aadya Katyayani Shaktipith Mandir, Delhi","https://www.google.com/maps/place/Mangal+Mahadev+Birla+Kanan+Delhi/@28.503125,77.0360821,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d1d9fab59d5f5:0x7db5bef16c582924!8m2!3d28.5352567!4d77.1128285!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQA!16s%2Fg%2F11rxspfhr1?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G53J+64R, Main Chhatarpur Rd, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074"
Mangal Mahadev Birla Kanan Delhi,"https://www.google.com/maps/place/Mangal+Mahadev+Birla+Kanan+Delhi/@28.5352567,76.9686329,12z/data=!4m10!1m2!2m1!1stemples!3m6!1s0x390d1d9fab59d5f5:0x7db5bef16c582924!8m2!3d28.5352567!4d77.1128285!15sCgd0ZW1wbGVzWgkiB3RlbXBsZXOSAQxoaW5kdV90ZW1wbGWqATwQASoLIgd0ZW1wbGVzKAAyHhABIhoijWPhpVBGc7MSAZBGJuHPf3S-IDO9pfxluTILEAIiB3RlbXBsZXPgAQA!16s%2Fg%2F11rxspfhr1?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G4P7+444, Avenue Bouganvillea, Rangpuri, New Delhi, Delhi 110037"
