Name,URL,Address
"Shri Mata Sheetla Devi Mandir (Gurugram, Haryana)","https://www.google.com/maps/place/Shri+Mata+Sheetla+Devi+Mandir+(Gurugram,+Haryana)/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d19308fb38635:0xd93a681e1eb3e03c!8m2!3d28.4788252!4d77.0309732!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA!16s%2Fg%2F11clyt6bj2?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Sheetla Mata Rd, Masani Village, Sector 6, Gurugram, Haryana 122001"
"Ancient Shiv Temple, Carterpuri, Gurugram","https://www.google.com/maps/place/Ancient+Shiv+Temple,+Carterpuri,+Gurugram/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d198f5809d1db:0xe9d73693572b2741!8m2!3d28.5085668!4d77.0440091!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTVibUpYWkROQlJSQUKqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA-gEECAAQIw!16s%2Fg%2F11c1wkq4ns?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","1334, Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122017"
"Shiv ji Temple, Gurugram, Delhi NCR","https://www.google.com/maps/place/Shiv+ji+Temple,+Gurugram,+Delhi+NCR/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d1983c151ef49:0x456922e013b65f8e!8m2!3d28.5089218!4d77.0525327!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRzVlUwd1RtRmtiRlV4V2tSc2JXUlZVbk5OTURoMFducG9OVkZyUlJBQqoBSRABKgsiB3RlbXBsZXMoADIfEAEiGyHJz32guni_ru7LcPCM6ZAkwHBEdl_RREv51TIXEAIiE3RlbXBsZXMgaW4gZ3VydWdyYW3gAQD6AQUI4QEQQw!16s%2Fg%2F11h0kbyh7?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","G353+H27, Sector 23, Gurugram, Haryana 122017"
"ISKCON Sri Sri Radha Damodar Mandir, Badshahpur, Gurugram","https://www.google.com/maps/place/ISKCON+Sri+Sri+Radha+Damodar+Mandir,+Badshahpur,+Gurugram/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d185ce1f6b729:0xadf8ec675e025a0d!8m2!3d28.379904!4d77.055271!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA!16s%2Fg%2F1vknmrqs?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","ISKCON Gurgaon, Gurugram, Haryana 122003"
"Shri Radha Krishna Temple Gurugram, Delhi NCR","https://www.google.com/maps/place/Shri+Radha+Krishna+Temple+Gurugram,+Delhi+NCR/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d197cb292f139:0xd669664371ed78e1!8m2!3d28.5121737!4d77.0676039!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm9PUzFNYVRCQlJSQUKqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA-gEECAAQMg!16s%2Fg%2F11g8wd5_8w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","331, Sector 30 M Wide Rd, Pocket A, Salapur Khera Village, Sector 21, Gurugram, Delhi, Haryana 110061"
"Shiv Shakti Hanuman Mandir, Purohit","https://www.google.com/maps/place/Shiv+Shakti+Hanuman+Mandir,+Purohit/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d195fd2c0e1b3:0xa2d213ea9cf6709e!8m2!3d28.496748!4d77.0562055!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRiRTFwYzA5UkVBRaoBSRABKgsiB3RlbXBsZXMoADIfEAEiGyHJz32guni_ru7LcPCM6ZAkwHBEdl_RREv51TIXEAIiE3RlbXBsZXMgaW4gZ3VydWdyYW3gAQD6AQQIABAj!16s%2Fg%2F11mhm5xxjz?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","मोदी कार वाश, Om Vihar, Palam Vihar Extension, Gurugram, Haryana 122017"
Shaktipeeth Mandir,"https://www.google.com/maps/place/Shaktipeeth+Mandir/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d18f63ec54a99:0x3222592ea4487b52!8m2!3d28.4544485!4d77.0581054!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxjRTVYU3pkUlJSQUKqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA-gEECC4QSA!16s%2Fg%2F1tdc3lzk?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","20, Shrimati Santhosh Yadav Rd, South City I, Sector 41, Gurugram, Haryana 122003"
Shakti Mandir,"https://www.google.com/maps/place/Shakti+Mandir/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d1977e51b15bf:0x1bbfebffae9b3b3b!8m2!3d28.505701!4d77.0582972!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTFkMlpEVVhWblJSQUKqAUkQASoLIgd0ZW1wbGVzKAAyHxABIhshyc99oLp4v67uy3DwjOmQJMBwRHZf0URL-dUyFxACIhN0ZW1wbGVzIGluIGd1cnVncmFt4AEA-gEECAAQLQ!16s%2Fg%2F11g8kr3d5f?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","87, Major Sushil Aima Marg, Sector 23, Gurugram, Haryana 122017"
Prem Mandir,"https://www.google.com/maps/place/Prem+Mandir/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d182d66a84e6f:0x64998a3d960b4ec6!8m2!3d28.4649269!4d77.0216443!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTJiemxwV2xoM0VBRaoBSRABKgsiB3RlbXBsZXMoADIfEAEiGyHJz32guni_ru7LcPCM6ZAkwHBEdl_RREv51TIXEAIiE3RlbXBsZXMgaW4gZ3VydWdyYW3gAQD6AQQIABAr!16s%2Fg%2F124yg4l7w?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Old Railway Rd, Pratap Nagar, Sector 8, Gurugram, Haryana 122006"
Jagannath Temple,"https://www.google.com/maps/place/Jagannath+Temple/@28.4788252,76.8867776,12z/data=!4m10!1m2!2m1!1stemples+in+gurugram!3m6!1s0x390d1845700b5caf:0x8d432620b50b5f18!8m2!3d28.456729!4d77.0426938!15sChN0ZW1wbGVzIGluIGd1cnVncmFtWhUiE3RlbXBsZXMgaW4gZ3VydWdyYW2SAQxoaW5kdV90ZW1wbGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjRlVXBQYUUxUkVBRaoBSRABKgsiB3RlbXBsZXMoADIfEAEiGyHJz32guni_ru7LcPCM6ZAkwHBEdl_RREv51TIXEAIiE3RlbXBsZXMgaW4gZ3VydWdyYW3gAQD6AQQIABA2!16s%2Fg%2F1261c_jnb?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D","Besides, Huda Market Rd, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122007"
