Name,URL,Address
ISKCON Temple Noida,https://www.google.com/maps/search/temples+in+UP,"A-5, Maharaja Agrasen Marg, Opposite Opposite NTPC office, Block A, Sector 33, Noida, Uttar Pradesh 201301"
"ISKCON Temple, Ghaziabad","https://www.google.com/maps/place/ISKCON+Temple,+Ghaziabad/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x390cf199a672e86f:0x93b6a8443203ee20!8m2!3d28.6823722!4d77.4508191!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fg%2F1ptynny2v?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","11, ISKCON CHOWK R, 35, Hare Krishna Marg, Block 11, Raj Nagar, Ghaziabad, Uttar Pradesh 201002"
Shri Khereshwar Temple,"https://www.google.com/maps/place/Shri+Khereshwar+Temple/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x3974a4416a6ca61b:0xecc5163f6f7529e3!8m2!3d27.8940094!4d78.0221085!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fg%2F11dd_pj68y?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Kheteshwar Chauraha, Khair - Aligarh Rd, Aligarh, Uttar Pradesh 202140"
"Ancient Shiv Temple, Carterpuri, Gurugram","https://www.google.com/maps/place/Ancient+Shiv+Temple,+Carterpuri,+Gurugram/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x390d198f5809d1db:0xe9d73693572b2741!8m2!3d28.5085668!4d77.0440091!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTVibUpYWkROQlJSQUKqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA-gEECAAQIw!16s%2Fg%2F11c1wkq4ns?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","1334, Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122017"
"Prem Mandir, Vrindavan","https://www.google.com/maps/place/Prem+Mandir,+Vrindavan/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x39736fb46ad6718b:0x59edc7620411f9f3!8m2!3d27.5720564!4d77.671897!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fm%2F0105k473?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Jagadguru Kripalu Dham Shyama Shyam Dham, Jagadguru Kripalu Parishat, Shri, Sri Kripalu Maharaj Ji Marg, Vrindavan, Uttar Pradesh 281121"
Uttara Swamimalai Temple Sree Swaminatha Swami,"https://www.google.com/maps/place/Uttara+Swamimalai+Temple+Sree+Swaminatha+Swami/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x390d1da14d2c0965:0x329023ebb8c472c4!8m2!3d28.567633!4d77.1657925!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fm%2F02rp6w7?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Palam Marg, Sector 7, Rama Krishna Puram, New Delhi, Delhi 110022"
Shri Dudheshwar Nath Mahadev Temple,"https://www.google.com/maps/place/Shri+Dudheshwar+Nath+Mahadev+Temple/@28.5865693,72.7363212,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x390cf1e5460faba1:0xa1f776007ecd2e89!8m2!3d28.6624053!4d77.4220193!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fg%2F11fsnzc_x5?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Prem Nagar, Madhopura, Ghaziabad, Uttar Pradesh 201009"
Shri Kashi Vishwanath Temple,"https://www.google.com/maps/place/Shri+Kashi+Vishwanath+Temple/@25.3108532,78.3964205,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x398e2e21ee940b17:0x48600e4fcdfb7b13!8m2!3d25.3108532!4d83.0106783!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16zL20vMDZrYzU0?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Lahori Tola, Varanasi, Domari, Uttar Pradesh 221001"
"Shri Dwarkadhish Temple, Mathura","https://www.google.com/maps/place/Shri+Dwarkadhish+Temple,+Mathura/@27.5051754,73.0706336,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x3973710e359db6e3:0xbf31462debe58532!8m2!3d27.5051754!4d77.6848914!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fg%2F11c3ssx7wg?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Sri Rajendra Pathak, Pathak Gali, Vishram Ghat, Vishram Bazar, Mathura, Uttar Pradesh 281001"
Durga Temple Mohan Nagar,"https://www.google.com/maps/place/Durga+Temple+Mohan+Nagar/@27.5051754,73.0706336,7z/data=!4m10!1m2!2m1!1stemples+in+UP!3m6!1s0x390cf07b8c037623:0x495205d12c6a5f22!8m2!3d28.679179!4d77.3859585!15sCg10ZW1wbGVzIGluIFVQWg8iDXRlbXBsZXMgaW4gdXCSAQxoaW5kdV90ZW1wbGWqAUMQASoLIgd0ZW1wbGVzKAAyHxABIhtAk8nbRsbKNNpMQyrqicRIAb2m7gthnwl79CwyERACIg10ZW1wbGVzIGluIHVw4AEA!16s%2Fg%2F1v3gq8w0?entry=ttu&g_ep=EgoyMDI1MDgxMS4wIKXMDSoASAFQAw%3D%3D","Grand Trunk Rd, Block B, Mohan Nagar, Sahibabad, Ghaziabad, Uttar Pradesh 201007"
